season,player,method
2019-2020, Judd Trump,Prize Money
2018-2019, Ronnie O'Sullivan,Prize Money
2017-2018, Mark Selby,Prize Money
2016-2017, Mark Selby,Prize Money
2015-2016, Mark Selby,Prize Money
2014-2015, Mark Selby,Prize Money
2013-2014, Mark Selby,Prize Money
2012-2013, Mark Selby,Points
2011-2012, Mark Selby,Points
2010-2011, Mark Williams,Points
2009-2010, John Higgins,Points
2008-2009, Ronnie O'Sullivan,Points
2007-2008, Ronnie O'Sullivan,Points
2006-2007, John Higgins,Points
2005-2006, Stephen Hendry,Points
2004-2005, Ronnie O'Sullivan,Points
2003-2004, Ronnie O'Sullivan,Points
2002-2003, Mark Williams,Points
2001-2002, Ronnie O'Sullivan,Points
2000-2001, Mark Williams,Points
1999-2000, Mark Williams,Points
1998-1999, John Higgins,Points
1997-1998, John Higgins,Points
1996-1997, Stephen Hendry,Points
1995-1996, Stephen Hendry,Points
1994-1995, Stephen Hendry,Points
1993-1994, Stephen Hendry,Points
1992-1993, Stephen Hendry,Points
1991-1992, Stephen Hendry,Points
1990-1991, Stephen Hendry,Points
1989-1990, Stephen Hendry,Points
1988-1989, Steve Davis,Points
1987-1988, Steve Davis,Points
1986-1987, Steve Davis,Points
1985-1986, Steve Davis,Points
1984-1985, Steve Davis,Points
1983-1984, Steve Davis,Points
1982-1983, Steve Davis,Points
1981-1982, Ray Reardon,Points
1980-1981, Cliff Thorburn,Points
1979-1980, Ray Reardon,Points
1978-1979, Ray Reardon,Points
1977-1978, Ray Reardon,Points
1976-1977, Ray Reardon,Points
1975-1976, Ray Reardon,Points
